Names in Current File	Year	1880 to 2012 Parse	2012 to 1880 Parse																																																																																																																																				
2000	1880	399	270																																																																																																																																				
1935	1881	232	276																																																																																																																																				
2127	1882	252	297																																																																																																																																				
2084	1883	278	285																																																																																																																																				
2297	1884	270	315																																																																																																																																				
2294	1885	251	312																																																																																																																																				
2392	1886	267	326																																																																																																																																				
2373	1887	246	332																																																																																																																																				
2651	1888	284	369																																																																																																																																				
2590	1889	272	355																																																																																																																																				
2695	1890	292	368																																																																																																																																				
2660	1891	278	365																																																																																																																																				
2921	1892	312	415																																																																																																																																				
2831	1893	304	390																																																																																																																																				
2941	1894	314	418																																																																																																																																				
3049	1895	328	425																																																																																																																																				
3091	1896	338	433																																																																																																																																				
3028	1897	327	432																																																																																																																																				
3264	1898	368	482																																																																																																																																				
3042	1899	332	486																																																																																																																																				
3732	1900	425	547																																																																																																																																				
3153	1901	343	436																																																																																																																																				
3362	1902	375	477																																																																																																																																				
3389	1903	368	502																																																																																																																																				
3561	1904	394	539																																																																																																																																				
3656	1905	403	559																																																																																																																																				
3633	1906	399	525																																																																																																																																				
3948	1907	446	569																																																																																																																																				
4018	1908	450	574																																																																																																																																				
4227	1909	489	615																																																																																																																																				
4628	1910	559	664																																																																																																																																				
4867	1911	584	712																																																																																																																																				
6349	1912	806	944																																																																																																																																				
6967	1913	865	1040																																																																																																																																				
7963	1914	1009	1223																																																																																																																																				
9359	1915	1217	1416																																																																																																																																				
9696	1916	1269	1466																																																																																																																																				
9916	1917	1286	1486																																																																																																																																				
10400	1918	1330	1569																																																																																																																																				
10367	1919	1316	1571																																																																																																																																				
10757	1920	1391	1650																																																																																																																																				
10856	1921	1396	1657																																																																																																																																				
10759	1922	1413	1633																																																																																																																																				
10645	1923	1366	1620																																																																																																																																				
10868	1924	1400	1655																																																																																																																																				
10643	1925	1494	1654																																																																																																																																				
10464	1926	1347	1601																																																																																																																																				
10407	1927	1327	1593																																																																																																																																				
10158	1928	1301	1539																																																																																																																																				
9811	1929	1215	1483																																																																																																																																				
9789	1930	1225	1471																																																																																																																																				
9285	1931	1171	1429																																																																																																																																				
9383	1932	1195	1433																																																																																																																																				
9009	1933	1119	1419																																																																																																																																				
9180	1934	1150	1370																																																																																																																																				
9032	1935	1139	1355																																																																																																																																				
8894	1936	1128	1357																																																																																																																																				
8945	1937	1140	1333																																																																																																																																				
9025	1938	1132	1358																																																																																																																																				
8918	1939	1116	1344																																																																																																																																				
8961	1940	1134	1332																																																																																																																																				
9085	1941	1167	1348																																																																																																																																				
9425	1942	1201	1415																																																																																																																																				
9406	1943	1196	1404																																																																																																																																				
9153	1944	1181	1379																																																																																																																																				
9027	1945	1176	1348																																																																																																																																				
9702	1946	1268	1573																																																																																																																																				
10371	1947	1366	1571																																																																																																																																				
10234	1948	1622	1624																																																																																																																																				
10257	1949	1392	1533																																																																																																																																				
10310	1950	1396	1568																																																																																																																																				
10453	1951	1582	1570																																																																																																																																				
10650	1952	1598	1623																																																																																																																																				
10828	1953	1426	1637																																																																																																																																				
10962	1954	1512	1654																																																																																																																																				
11114	1955	1591	1681																																																																																																																																				
11339	1956	1667	1717																																																																																																																																				
11562	1957	1556	1739																																																																																																																																				
11520	1958	1575	1741																																																																																																																																				
11768	1959	1611	1803																																																																																																																																				
11923	1960	1619	1791																																																																																																																																				
12172	1961	1752	1865																																																																																																																																				
12201	1962	1823	1854																																																																																																																																				
12280	1963	1753	1865																																																																																																																																				
12388	1964	1810	1889																																																																																																																																				
11952	1965	1821	1811																																																																																																																																				
12146	1966	1738	1850																																																																																																																																				
12396	1967	1923	1876																																																																																																																																				
12928	1968	2157	1963																																																																																																																																				
13750	1969	2097	2110																																																																																																																																				
14773	1970	2397	2280																																																																																																																																				
15286	1971	2376	2359																																																																																																																																				
15414	1972	2365	2391																																																																																																																																				
15674	1973	2565	2431																																																																																																																																				
16240	1974	2562	2529																																																																																																																																				
16926	1975	2847	2629																																																																																																																																				
17389	1976	2720	2710																																																																																																																																				
18166	1977	2863	2839																																																																																																																																				
18221	1978	2857	2962																																																																																																																																				
19018	1979	3052	2992																																																																																																																																				
19431	1980	3165	3025																																																																																																																																				
19460	1981	3054	3043																																																																																																																																				
19678	1982	3113	3054																																																																																																																																				
19391	1983	3060	3028																																																																																																																																				
19498	1984	3097	3056																																																																																																																																				
20076	1985	3161	3117																																																																																																																																				
20632	1986	3309	3229																																																																																																																																				
21391	1987	3438	3327																																																																																																																																				
22352	1988	3761	3596																																																																																																																																				
23762	1989	3871	3729																																																																																																																																				
24711	1990	4109	3884																																																																																																																																				
25105	1991	4155	4127																																																																																																																																				
25415	1992	4245	4328																																																																																																																																				
25950	1993	4345	4079																																																																																																																																				
25992	1994	4355	4082																																																																																																																																				
26077	1995	4395	4189																																																																																																																																				
26420	1996	4956	4100																																																																																																																																				
26964	1997	4575	4187																																																																																																																																				
27888	1998	4710	4344																																																																																																																																				
28541	1999	4843	4415																																																																																																																																				
29763	2000	5068	4608																																																																																																																																				
30258	2001	5140	4701																																																																																																																																				
30554	2002	5195	4750																																																																																																																																				
31170	2003	5295	4788																																																																																																																																				
32027	2004	5446	4911																																																																																																																																				
32525	2005	5539	5146																																																																																																																																				
34058	2006	5819	5327																																																																																																																																				
34917	2007	6076	5489																																																																																																																																				
35028	2008	6097	5652																																																																																																																																				
34657	2009	5901	5467																																																																																																																																				
34012	2010	5789	5429																																																																																																																																				
33831	2011	5796	5641																																																																																																																																				
33542	2012	5957	7335																																																																																																																																				
